date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-04-13,11:00,55104.0,55114.0,55063.4,55090.0,145754040,55090.05,55152.27,36.47,-0.0001,False,True,True,27.67,False,False,True,0.5281,SIDEWAYS,True,NO_SIGNAL,54953.1,55000,1164.9,1065.5,False,,,
2026-04-13,11:05,55097.2,55120.0,55080.2,55090.0,133764600,55092.92,55146.34,36.47,-0.0053,False,True,True,18.09,False,False,True,0.3255,SIDEWAYS,True,NO_SIGNAL,54938.25,54900,1150.0,1076.55,False,,,
2026-04-13,11:10,55105.0,55105.0,55030.0,55099.0,144855120,55088.19,55141.83,37.15,0.0196,False,True,True,8.0,False,False,True,0.343,SIDEWAYS,True,NO_SIGNAL,54960.1,55000,1218.05,1044.2,False,,,
2026-04-13,11:15,55099.0,55100.0,55075.0,55080.6,139931670,55087.48,55136.0,36.29,-0.0125,False,True,True,73.6,False,False,True,0.1779,SIDEWAYS,True,NO_SIGNAL,54945.25,54900,1144.55,1081.35,False,,,
2026-04-13,11:20,55080.6,55100.0,55018.0,55065.6,153282030,55082.11,55129.3,35.57,-0.03,False,True,True,18.29,False,False,True,0.0326,SIDEWAYS,True,NO_SIGNAL,54940.95,54900,1201.75,1044.0,False,,,
2026-04-13,11:25,55065.6,55095.0,55025.0,55025.4,147410550,55076.58,55119.4,33.64,-0.0929,False,True,True,57.43,False,False,True,0.114,SIDEWAYS,True,NO_SIGNAL,54911.9,54900,1188.6,1057.4,False,,,
2026-04-13,11:30,55025.4,55075.4,55011.0,55040.0,156277680,55071.47,55111.84,35.02,-0.0571,False,True,True,22.67,False,False,True,0.3194,SIDEWAYS,True,NO_SIGNAL,54921.95,54900,1194.15,1064.0,False,,,
2026-04-13,11:35,55040.4,55141.2,55033.8,55114.0,142879230,55074.44,55112.04,41.65,0.0718,False,True,True,68.53,False,True,False,0.1266,SIDEWAYS,True,NO_SIGNAL,54980.25,55000,1230.0,1039.2,False,,,
2026-04-13,11:40,55114.0,55129.2,55076.2,55100.0,147335220,55077.44,55110.9,40.8,0.041,False,True,True,26.42,False,True,False,0.0307,SIDEWAYS,True,NO_SIGNAL,54960.35,55000,1164.35,1090.0,False,,,
2026-04-13,11:45,55084.0,55184.0,55084.0,55184.0,166874190,55085.53,55117.86,47.68,0.1788,False,True,True,100.0,False,True,False,0.5434,TRENDING,True,NO_SIGNAL,55049.9,55000,1226.2,1043.0,False,,,
2026-04-13,11:50,55184.0,55223.0,55175.0,55220.0,187019790,55098.8,55127.59,50.35,0.22,True,False,True,75.0,False,True,False,0.6132,TRENDING,True,BUY_CE,55101.2,55100,1252.3,1026.95,False,,,
2026-04-13,11:55,55220.0,55268.0,55189.8,55194.0,180845730,55110.21,55133.91,48.43,0.152,True,False,False,33.25,False,True,False,0.3696,SIDEWAYS,True,NO_SIGNAL,55091.9,55100,1189.75,1072.95,True,CE,1252.3,1189.75
2026-04-13,12:00,55210.0,55270.0,55209.8,55233.0,164332380,55120.46,55143.35,51.42,0.2042,True,False,False,38.21,False,True,False,0.5884,TRENDING,True,NO_SIGNAL,55115.5,55100,1212.35,1062.7,True,CE,1252.3,1212.35
2026-04-13,12:05,55240.0,55325.0,55237.2,55290.0,178408800,55133.6,55157.32,55.48,0.2837,True,False,False,56.95,False,True,False,0.7146,TRENDING,True,NO_SIGNAL,55153.1,55100,1231.45,1036.0,True,CE,1252.3,1231.45
2026-04-13,12:10,55286.0,55345.0,55286.0,55340.4,176339460,55147.59,55174.75,58.77,0.3496,True,False,False,92.2,False,True,False,0.9431,TRENDING,True,NO_SIGNAL,55208.1,55100,1265.0,1014.55,True,CE,1252.3,1265.0
2026-04-13,12:15,55345.0,55375.0,55335.0,55375.0,193201920,55163.55,55193.82,60.9,0.3833,True,False,False,75.0,False,True,False,0.9203,TRENDING,True,NO_SIGNAL,55237.25,55100,1284.3,1010.45,True,CE,1252.3,1284.3
2026-04-13,12:20,55375.0,55399.0,55324.2,55395.0,193981410,55178.13,55212.98,62.12,0.393,True,False,False,26.74,False,True,False,0.7694,TRENDING,True,NO_SIGNAL,55253.7,55100,1303.5,1006.1,True,CE,1252.3,1303.5
2026-04-13,12:25,55395.0,55517.0,55395.0,55514.0,233861940,55201.15,55241.65,68.43,0.5667,True,False,True,97.54,False,True,False,0.9392,TRENDING,True,NO_SIGNAL,55373.6,55100,1384.75,955.0,True,CE,1252.3,1384.75
2026-04-13,12:30,55525.0,55525.0,55475.2,55485.2,227180130,55221.73,55264.85,65.58,0.4771,True,False,True,79.92,False,True,False,0.683,TRENDING,True,NO_SIGNAL,55336.65,55100,1362.0,969.85,True,CE,1252.3,1362.0
