datetime,open,high,low,close,volume
2026-04-17 13:40:00,24594,24605.2,24587,24589,6175
2026-04-17 13:45:00,24589,24602.9,24589,24596,2015
2026-04-17 13:50:00,24596,24596,24582,24587.1,2340
2026-04-17 13:55:00,24587.1,24592,24581.2,24590,520
2026-04-17 14:00:00,24590,24597,24588,24593,780
2026-04-17 14:05:00,24593,24596,24585.7,24596,1105
2026-04-17 14:10:00,24596,24607,24595,24605.1,1430
2026-04-17 14:15:00,24605.1,24605.1,24600.1,24605,780
2026-04-17 14:20:00,24605,24615,24600,24603.6,2730
2026-04-17 14:25:00,24603.6,24610,24592.4,24592.4,1495
2026-04-17 14:30:00,24592.4,24610,24590.3,24610,1950
2026-04-17 14:35:00,24610,24624,24610,24614.4,3835
2026-04-17 14:40:00,24614.4,24629.9,24614.4,24628.4,1560
2026-04-17 14:45:00,24628.4,24649,24628,24642,6110
2026-04-17 14:50:00,24642,24643.5,24633.5,24642.3,2795
2026-04-17 14:55:00,24642.3,24642.3,24638.7,24638.7,3640
2026-04-17 15:00:00,24638.7,24649,24623,24639.8,3705
2026-04-17 15:05:00,24639.8,24650,24639.8,24642.1,3055
2026-04-17 15:10:00,24642.1,24661,24642.1,24645,9230
2026-04-17 15:15:00,24645,24662.6,24640.1,24646,12415
2026-04-17 15:20:00,24646,24664.9,24646,24660,3965
2026-04-17 15:25:00,24660,24666.6,24655,24666.6,6825
2026-04-20 09:15:00,24717,24720.3,24551,24612,22360
2026-04-20 09:20:00,24612,24671.6,24612,24670,12415
2026-04-20 09:25:00,24670,24683,24654,24660,8905
2026-04-20 09:30:00,24660,24670,24615,24630.1,7865
2026-04-20 09:35:00,24630.1,24647.8,24619.1,24621.8,4875
2026-04-20 09:40:00,24621.8,24637.6,24580,24580,9490
2026-04-20 09:45:00,24580,24588,24560.8,24577.6,5915
2026-04-20 09:50:00,24577.6,24616.7,24562.8,24615,3965
2026-04-20 09:55:00,24615,24616.5,24599,24607.8,2210
2026-04-20 10:00:00,24607.8,24649.3,24603,24631.9,2275
2026-04-20 10:05:00,24631.9,24669.2,24627.5,24669.2,3705
2026-04-20 10:10:00,24669.2,24669.2,24638.9,24650,1820
2026-04-20 10:15:00,24650,24670,24645.3,24660,4095
2026-04-20 10:20:00,24660,24675,24655,24675,1820
2026-04-20 10:25:00,24675,24688.9,24670,24680,2795
2026-04-20 10:30:00,24680,24725,24680,24707,9685
2026-04-20 10:35:00,24707,24724,24699.7,24704,2665
2026-04-20 10:40:00,24704,24725.5,24704,24714.3,3120
2026-04-20 10:45:00,24714.3,24720,24700.2,24705,1820
2026-04-20 10:50:00,24705,24709.9,24693,24700,5655
2026-04-20 10:55:00,24700,24710,24693,24710,1560
2026-04-20 11:00:00,24710,24711,24697.7,24710,1430
2026-04-20 11:05:00,24710,24720,24693.1,24693.1,1300
2026-04-20 11:10:00,24693.1,24693.1,24675.7,24685.7,2925
2026-04-20 11:15:00,24685.7,24706.8,24685,24706,585
